,id_new,id,pt,geometry,all_tags
510,43.859497_-78.9340944_ts2,43.859_-78.934_ts2,"(43.859497, -78.9340944)","POLYGON((-78.9340944 43.859497, -78.9342918 43.8594472, -78.9342148 43.8592887, -78.9340174 43.8593386, -78.9340944 43.859497))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
511,43.6205687_-79.67825_ts2,43.621_-79.678_ts2,"(43.6205687, -79.67825)","POLYGON((-79.67825 43.6205687, -79.6791306 43.6210842, -79.6792597 43.6209686, -79.6790471 43.6208441, -79.6790102 43.6208771, -79.6788045 43.6207567, -79.6788438 43.6207215, -79.6783816 43.6204509, -79.67825 43.6205687))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
512,38.6185202_-76.6099023_ts2,38.619_-76.61_ts2,"(38.6185202, -76.6099023)","POLYGON((-76.6099023 38.6185202, -76.6099561 38.6183589, -76.6085612 38.618075, -76.6085075 38.6182363, -76.6099023 38.6185202))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'lit', 'value': 'yes'}, {'key': 'name', 'value': 'Huntingtown High School'}, {'key': 'operator', 'value': 'Calvert County Public Schools'}, {'key': 'park_ride', 'value': 'no'}, {'key': 'parking', 'value': 'surface'}, {'key': 'smoothness', 'value': 'excellent'}, {'key': 'surface', 'value': 'asphalt'}]"
513,32.5302229_-94.8595121_ts2,32.53_-94.86_ts2,"(32.5302229, -94.8595121)","POLYGON((-94.8595121 32.5302229, -94.8595689 32.5301421, -94.8596444 32.5300448, -94.8589168 32.529736, -94.8587565 32.5300227, -94.8594671 32.5303187, -94.8595121 32.5302229))","[{'key': 'amenity', 'value': 'parking'}]"
514,42.4851108_-76.4873031_ts2,42.485_-76.487_ts2,"(42.4851108, -76.4873031)","POLYGON((-76.4873031 42.4851108, -76.4873614 42.4850678, -76.4870504 42.4845768, -76.4869775 42.4845876, -76.4867345 42.4843761, -76.48637 42.4844335, -76.4865863 42.4847435, -76.4867661 42.4850195, -76.4868341 42.484989, -76.4869459 42.4851521, -76.4870747 42.4852184, -76.487359 42.4851395, -76.4873031 42.4851108), (-76.4869039 42.4846362, -76.4870902 42.4849198, -76.4870488 42.4849489, -76.4871166 42.4850683, -76.487064 42.4850928, -76.4870003 42.4850745, -76.4869266 42.4849783, -76.4867403 42.4846946, -76.4867147 42.4846671, -76.4867281 42.4846076, -76.4868128 42.4845764, -76.4868872 42.4846061, -76.4869039 42.4846362))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'surface', 'value': 'asphalt'}, {'key': 'type', 'value': 'multipolygon'}]"
515,35.7632069_-78.7035849_ts2,35.763_-78.704_ts2,"(35.7632069, -78.7035849)","POLYGON((-78.7035849 35.7632069, -78.7035696 35.7631077, -78.7035096 35.76272, -78.7034515 35.7626433, -78.702086 35.762549, -78.7019929 35.7626073, -78.7018705 35.7629758, -78.7018462 35.763049, -78.7021984 35.7631485, -78.7024917 35.7631809, -78.7028913 35.763208, -78.7029376 35.7632111, -78.7032919 35.7632172, -78.7035849 35.7632069))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}]"
516,45.5016461_9.6291127_ts2,45.502_9.629_ts2,"(45.5016461, 9.6291127)","POLYGON((9.6291127 45.5016461, 9.629057 45.5016793, 9.6289309 45.5015752, 9.6289867 45.5015421, 9.6291127 45.5016461))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'street_side'}]"
517,43.2524983_-79.938734_ts2,43.252_-79.939_ts2,"(43.2524983, -79.938734)","POLYGON((-79.938734 43.2524983, -79.9388246 43.2523788, -79.9387092 43.2523324, -79.9386186 43.2524519, -79.938734 43.2524983))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
518,45.6135598_5.22081_ts2,45.614_5.221_ts2,"(45.6135598, 5.22081)","POLYGON((5.22081 45.6135598, 5.2208247 45.6139072, 5.220824 45.6139781, 5.2205255 45.6139776, 5.2205229 45.6139061, 5.2205228 45.6135598, 5.22081 45.6135598))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
519,39.8165544_-86.1555329_ts2,39.817_-86.156_ts2,"(39.8165544, -86.1555329)","POLYGON((-86.1555329 39.8165544, -86.1554104 39.8165564, -86.15541 39.8165389, -86.1552982 39.8165428, -86.1553072 39.8168266, -86.1554174 39.8168258, -86.1554195 39.8169105, -86.1555365 39.8169093, -86.1555329 39.8165544))","[{'key': 'access', 'value': 'permissive'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'operator', 'value': 'IPS'}, {'key': 'operator:type', 'value': 'government'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
520,40.0083367_-105.2472138_ts2,40.008_-105.247_ts2,"(40.0083367, -105.2472138)","POLYGON((-105.2472138 40.0083367, -105.2472751 40.0083368, -105.247276 40.00801, -105.2472147 40.0080099, -105.2472138 40.0083367))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'yes'}, {'key': 'maxstay', 'value': '4h'}, {'key': 'parking', 'value': 'surface'}, {'key': 'ref', 'value': '549'}, {'key': 'surface', 'value': 'asphalt'}]"
521,41.7170905_-72.2280383_ts2,41.717_-72.228_ts2,"(41.7170905, -72.2280383)","POLYGON((-72.2280383 41.7170905, -72.228168 41.716948, -72.2273951 41.7165562, -72.2272656 41.7166986, -72.2280383 41.7170905))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'operator', 'value': 'Hartford Healthcare'}, {'key': 'operator:type', 'value': 'private'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
522,43.6160303_-79.5560039_ts2,43.616_-79.556_ts2,"(43.6160303, -79.5560039)","POLYGON((-79.5560039 43.6160303, -79.5559331 43.6160467, -79.5560039 43.616206, -79.5560772 43.6161914, -79.5560949 43.6162353, -79.5564363 43.6161529, -79.5563883 43.6160376, -79.5563099 43.6160614, -79.5562492 43.6159515, -79.5565653 43.615882, -79.5565397 43.61583, -79.5566016 43.6158152, -79.556366 43.6152649, -79.556206 43.6153068, -79.5561927 43.6152456, -79.5559571 43.6152939, -79.5558549 43.6150493, -79.5562371 43.6149528, -79.5561482 43.6147114, -79.5557088 43.6148072, -79.5555957 43.6145537, -79.5553615 43.614602, -79.5555438 43.614985, -79.5555171 43.6151491, -79.5557749 43.6156672, -79.5558904 43.6156414, -79.5558993 43.6156704, -79.5560416 43.6156318, -79.5560371 43.6155996, -79.5563163 43.615527, -79.5564167 43.6157368, -79.5558935 43.6158573, -79.5559304 43.6159761, -79.5559749 43.6159654, -79.5560039 43.6160303))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'Bing'}]"
523,35.8673705_-78.6433783_ts2,35.867_-78.643_ts2,"(35.8673705, -78.6433783)","POLYGON((-78.6433783 35.8673705, -78.6432394 35.867394, -78.6432636 35.8674605, -78.6432577 35.8674749, -78.6432081 35.8674883, -78.643253 35.867584, -78.6433115 35.8676611, -78.6434244 35.8677526, -78.6434415 35.8677329, -78.6434574 35.8677219, -78.6434758 35.8677243, -78.6434905 35.8677344, -78.6435047 35.8677511, -78.6435175 35.867772, -78.6435985 35.8677085, -78.6436264 35.8676717, -78.6435319 35.8676075, -78.6434438 35.8675175, -78.6433995 35.8674414, -78.6433859 35.8673897, -78.6433783 35.8673705))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
524,47.8133178_13.0511643_ts2,47.813_13.051_ts2,"(47.8133178, 13.0511643)","POLYGON((13.0511643 47.8133178, 13.051167 47.8133, 13.0514165 47.8133166, 13.0514138 47.8133356, 13.0511643 47.8133178))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'lane'}]"
525,48.7039834_2.386297_ts2,48.704_2.386_ts2,"(48.7039834, 2.386297)","POLYGON((2.386297 48.7039834, 2.3862746 48.7040098, 2.3862604 48.7040257, 2.3859801 48.7039485, 2.3859626 48.7039349, 2.3859501 48.7039171, 2.3859488 48.7039022, 2.3859501 48.7038932, 2.3860301 48.7037622, 2.3861005 48.7037826, 2.3860242 48.7039102, 2.386297 48.7039834))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '10'}, {'key': 'parking', 'value': 'lane'}, {'key': 'surface', 'value': 'asphalt'}]"
526,41.4602021_-81.8468003_ts2,41.46_-81.847_ts2,"(41.4602021, -81.8468003)","POLYGON((-81.8468003 41.4602021, -81.8464688 41.460441, -81.8465178 41.4604742, -81.8465166 41.4605635, -81.8464711 41.4605993, -81.8467859 41.4608452, -81.8468314 41.4608119, -81.8468489 41.4608172, -81.8468711 41.4608198, -81.8468711 41.4607463, -81.8468524 41.4607428, -81.8466096 41.4605547, -81.8466131 41.4604768, -81.8468641 41.4603027, -81.8468828 41.460301, -81.8468851 41.4602301, -81.8468443 41.4602327, -81.8468003 41.4602021))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '25'}, {'key': 'operator', 'value': 'Linden House West'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
