,id_new,id,pt,geometry,all_tags
583,44.0149956_-116.943377_ts2,44.015_-116.943_ts2,"(44.0149956, -116.943377)","POLYGON((-116.943377 44.0149956, -116.9432884 44.015119, -116.9432268 44.0152463, -116.9431704 44.0154566, -116.9431382 44.0157209, -116.9431436 44.0159523, -116.9431758 44.0162243, -116.9432455 44.0164693, -116.9433501 44.0167104, -116.9434735 44.0169303, -116.9436184 44.0171424, -116.9437632 44.0172466, -116.9438852 44.0172919, -116.9440073 44.0173391, -116.9441214 44.0172351, -116.9440707 44.0172046, -116.9440272 44.0171713, -116.9439982 44.0171427, -116.9439975 44.0171419, -116.9439431 44.0170799, -116.9438857 44.0170147, -116.9438797 44.0170059, -116.9438374 44.0169444, -116.9437878 44.0168724, -116.9437824 44.0168646, -116.9437391 44.0167956, -116.9436934 44.0167073, -116.9436597 44.0166384, -116.9436237 44.0165568, -116.943598 44.0165111, -116.9435748 44.0164484, -116.9435516 44.0163856, -116.9435476 44.0163615, -116.9435275 44.0163095, -116.9435126 44.0162239, -116.9434925 44.016143, -116.9434803 44.0160816, -116.9434682 44.0159941, -116.9434587 44.0158834, -116.9434587 44.0157805, -116.9434614 44.0156637, -116.943475 44.0155897, -116.9434886 44.0154916, -116.9435112 44.0154225, -116.9435149 44.015368, -116.9434926 44.0152789, -116.9434737 44.01519, -116.94346 44.0151236, -116.9434668 44.0150447, -116.943377 44.0149956))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Trucks & RV'}]"
584,42.6638705_-84.4728528_ts2,42.664_-84.473_ts2,"(42.6638705, -84.4728528)","POLYGON((-84.4728528 42.6638705, -84.4729741 42.6638705, -84.472984 42.6638268, -84.4731425 42.663612, -84.4731945 42.6635355, -84.4731227 42.6618294, -84.4729964 42.6618294, -84.4727884 42.6621444, -84.4727686 42.6622008, -84.4728528 42.6638705))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
585,41.1551134_-74.1892134_ts2,41.155_-74.189_ts2,"(41.1551134, -74.1892134)","POLYGON((-74.1892134 41.1551134, -74.1901061 41.1544154, -74.1902348 41.1542668, -74.1902777 41.1541376, -74.1903321 41.1539593, -74.1902581 41.1537152, -74.1901427 41.1533174, -74.1901025 41.1530952, -74.1900381 41.1526186, -74.1899838 41.1526269, -74.1899228 41.1526388, -74.1899737 41.1531295, -74.1901213 41.1538121, -74.1901266 41.153895, -74.1900703 41.1540202, -74.1897833 41.1542504, -74.1894775 41.1545049, -74.1891986 41.1547129, -74.189005 41.1553548, -74.1892134 41.1551134))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
586,-37.6651508_144.7472898_ts2,-37.665_144.747_ts2,"(-37.6651508, 144.7472898)","POLYGON((144.7472898 -37.6651508, 144.7469559 -37.6652177, 144.7473542 -37.6655839, 144.7478169 -37.6658154, 144.748175 -37.6658122, 144.7485304 -37.6657198, 144.7472898 -37.6651508))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}, {'key': 'parking', 'value': 'surface'}]"
587,50.0551153_11.6102539_ts2,50.055_11.61_ts2,"(50.0551153, 11.6102539)","POLYGON((11.6102539 50.0551153, 11.6101869 50.055084, 11.6097819 50.0548948, 11.6097186 50.0548653, 11.609307 50.054673, 11.609251 50.0546468, 11.6087446 50.0544102, 11.6087402 50.054397, 11.6087245 50.0543249, 11.6086998 50.0542413, 11.6087644 50.0542425, 11.6092176 50.0544494, 11.6092727 50.0544746, 11.6096846 50.0546653, 11.6097428 50.0546923, 11.6101386 50.0548897, 11.6102121 50.0549245, 11.6107279 50.0551815, 11.6107644 50.0553538, 11.6102539 50.0551153))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'LKW / Truck Parking'}, {'key': 'parking', 'value': 'surface'}]"
588,43.7604698_-84.0179655_ts2,43.76_-84.018_ts2,"(43.7604698, -84.0179655)","POLYGON((-84.0179655 43.7604698, -84.0185449 43.762156, -84.0185728 43.7622232, -84.0186658 43.7623082, -84.0189354 43.7625231, -84.018985 43.7626059, -84.0190965 43.7625924, -84.0191089 43.7625186, -84.0185233 43.7608178, -84.0184861 43.7607618, -84.0180461 43.7604328, -84.0179655 43.7604698))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
589,48.148708_6.4963816_ts2,48.149_6.496_ts2,"(48.148708, 6.4963816)","POLYGON((6.4963816 48.148708, 6.4969148 48.148734, 6.4971727 48.1489157, 6.4966928 48.1488936, 6.4965718 48.1488734, 6.4963816 48.148708))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'Trucks'}]"
590,59.9913498_30.7864084_ts2,59.991_30.786_ts2,"(59.9913498, 30.7864084)","POLYGON((30.7864084 59.9913498, 30.7860631 59.9910785, 30.7861972 59.9907099, 30.7848306 59.9896092, 30.7853127 59.9894549, 30.7872587 59.9910983, 30.7864084 59.9913498))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck parking'}, {'key': 'parking', 'value': 'surface'}]"
591,46.3563411_-92.8060888_ts2,46.356_-92.806_ts2,"(46.3563411, -92.8060888)","POLYGON((-92.8060888 46.3563411, -92.8063935 46.3558829, -92.8058898 46.356008, -92.8056034 46.3564453, -92.8060888 46.3563411))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
592,38.0451424_-78.7656139_ts2,38.045_-78.766_ts2,"(38.0451424, -78.7656139)","POLYGON((-78.7656139 38.0451424, -78.7654329 38.0449766, -78.7645424 38.0447749, -78.764301 38.0447569, -78.7644632 38.0448858, -78.7656139 38.0451424))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
